Shop,City,Street,Item,DateTime,Price
Lidl,New York,Freedom,Bread - Granary Small Pull,2020-04-25T10:32:16Z,"€64,90"
Kwiki Mart,Brussels,Laisves,"Wine - White, Pinot Grigio",2020-04-13T18:57:32Z,"€92,70"
Playtech,London,Freedom,Beans - Yellow,2020-04-25T18:48:52Z,"€29,08"
Aibe,Brussels,George's,Halibut - Steaks,2020-04-07T02:30:45Z,"€63,73"
Kwiki Mart,New York,George's,Onions - Cippolini,2020-04-14T23:54:44Z,"€3,38"
Lidl,New York,Laisves,Pork - Liver,2020-04-16T23:48:35Z,"€31,41"
Kwiki Mart,Brussels,Freedom,"Bread - White, Unsliced",2020-04-29T07:20:40Z,"€20,76"
Playtech,New York,Freedom,Bandage - Fexible 1x3,2020-04-04T14:18:06Z,"€42,52"
Ebay,New York,Laisves,Red Cod Fillets - 225g,2020-04-03T21:40:56Z,"€65,68"
Playtech,Brussels,Laisves,Appetizer - Chicken Satay,2020-04-25T16:14:04Z,"€81,03"
Playtech,New York,Laisves,Alize Red Passion,2020-04-17T18:59:38Z,"€35,78"
Wallmart,London,Laisves,Bread - Hamburger Buns,2020-04-24T11:57:53Z,"€81,65"
Lidl,London,Laisves,Lamb - Ground,2020-04-12T10:25:38Z,"€14,06"
Ebay,New York,Freedom,Rice - Wild,2020-04-12T16:51:25Z,"€98,53"
Ebay,New York,Laisves,Oven Mitts 17 Inch,2020-04-06T17:34:02Z,"€61,48"
Lidl,Brussels,George's,"Beef - Tenderlion, Center Cut",2020-04-12T11:40:07Z,"€21,02"
Ebay,Brussels,George's,"Plate - Foam, Bread And Butter",2020-04-04T17:45:12Z,"€61,94"
Wallmart,New York,Freedom,"Pasta - Penne Primavera, Single",2020-04-22T12:33:20Z,"€45,16"
Ebay,Brussels,Freedom,Wine - Blue Nun Qualitatswein,2020-04-02T07:15:05Z,"€32,52"
Ebay,London,George's,"Soup - Cream Of Broccoli, Dry",2020-04-25T07:01:07Z,"€72,78"
Playtech,Brussels,Freedom,Lettuce - Curly Endive,2020-04-12T13:30:45Z,"€8,26"
Kwiki Mart,London,George's,Wine - Toasted Head,2020-04-29T11:24:59Z,"€29,60"
Playtech,Brussels,George's,Potatoes - Idaho 80 Count,2020-04-03T10:43:55Z,"€71,96"
Kwiki Mart,Brussels,Freedom,Tea - Herbal Orange Spice,2020-04-18T16:42:14Z,"€67,66"
Aibe,London,Freedom,"Iced Tea - Lemon, 460 Ml",2020-04-22T10:18:57Z,"€24,81"
Playtech,Brussels,George's,"Pork - Loin, Boneless",2020-04-09T17:16:39Z,"€48,01"
Kwiki Mart,Brussels,Freedom,"Turkey - Breast, Boneless Sk On",2020-04-28T17:34:40Z,"€23,59"
Ebay,Brussels,Freedom,Pasta - Fusili Tri - Coloured,2020-04-10T15:38:11Z,"€52,73"
Wallmart,London,George's,Chicken - Whole Fryers,2020-04-28T15:06:58Z,"€25,34"
Ebay,New York,George's,Appetizer - Chicken Satay,2020-04-27T11:45:28Z,"€63,06"
Ebay,New York,Freedom,Cookie Trail Mix,2020-04-20T03:37:25Z,"€25,85"
Playtech,New York,George's,Filter - Coffee,2020-04-20T17:28:34Z,"€6,86"
Kwiki Mart,Brussels,Freedom,Bread - Olive Dinner Roll,2020-04-11T08:48:29Z,"€20,98"
Wallmart,London,Freedom,Flour - Pastry,2020-04-27T16:19:29Z,"€18,60"
